City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
232,Brufut,13.3814,-16.7518,87.89,70,75,8.05,GM,2022-10-01 17:14:45,broken clouds
233,Goundi,9.3627,17.366,81.0,76,48,2.64,TD,2022-10-01 17:14:45,scattered clouds
234,Coihaique,-45.5752,-72.0662,57.15,30,0,3.44,CL,2022-10-01 17:14:45,clear sky
235,Matara,5.9485,80.5353,78.1,88,100,14.12,LK,2022-10-01 17:12:17,overcast clouds
236,Ilulissat,69.2167,-51.1,35.62,64,40,2.3,GL,2022-10-01 17:14:46,scattered clouds
237,Montevideo,-34.8335,-56.1674,68.02,62,75,12.66,UY,2022-10-01 17:14:46,broken clouds
238,Moose Factory,51.2585,-80.6094,48.18,57,75,12.66,CA,2022-10-01 17:14:47,broken clouds
239,Campamento,14.55,-86.65,83.3,49,99,3.06,HN,2022-10-01 17:14:47,overcast clouds
240,Portage,41.1667,-81.1998,62.38,56,0,8.05,US,2022-10-01 17:14:47,clear sky
241,Santa Vitoria Do Palmar,-33.5189,-53.3681,65.35,60,18,9.75,BR,2022-10-01 17:14:48,few clouds
242,Kwekwe,-18.9281,29.8149,77.65,17,3,7.2,ZW,2022-10-01 17:14:48,clear sky
243,Mahanoro,-19.9,48.8,68.22,85,0,4.94,MG,2022-10-01 17:14:48,clear sky
244,Sayyan,15.1718,44.3244,65.73,25,4,3.33,YE,2022-10-01 17:14:49,clear sky
245,Verkhnyaya Inta,65.9811,60.3094,36.34,85,100,5.55,RU,2022-10-01 17:14:49,light rain
246,Tevriz,57.509,72.4042,27.86,76,16,2.39,RU,2022-10-01 17:14:49,few clouds
247,La Rioja,42.25,-2.5,69.58,51,5,3.44,ES,2022-10-01 17:14:50,clear sky
248,San-Pedro,4.7485,-6.6363,76.3,92,94,10.74,CI,2022-10-01 17:14:50,light rain
249,Cheremshanka,56.1192,60.268,26.11,97,73,3.24,RU,2022-10-01 17:14:51,broken clouds
250,Tucuman,-26.8241,-65.2226,84.2,28,0,5.75,AR,2022-10-01 17:14:51,clear sky
251,Bardiyah,31.7561,25.0865,82.45,62,0,5.77,LY,2022-10-01 17:14:51,clear sky
252,Yar-Sale,66.8333,70.8333,32.34,71,87,13.56,RU,2022-10-01 17:13:50,overcast clouds
253,Sechura,-5.5569,-80.8222,75.69,56,26,11.54,PE,2022-10-01 17:14:52,scattered clouds
254,Kidal,18.4411,1.4078,98.26,22,74,12.44,ML,2022-10-01 17:14:52,broken clouds
255,Nuuk,64.1835,-51.7216,36.21,93,75,6.91,GL,2022-10-01 17:10:30,broken clouds
256,Hobyo,5.3505,48.5268,76.89,84,10,22.46,SO,2022-10-01 17:14:53,clear sky
257,Perigueux,45.1833,0.7167,65.61,91,100,9.24,FR,2022-10-01 17:14:53,overcast clouds
258,Ghogha,21.6833,72.2833,83.89,72,26,13.53,IN,2022-10-01 17:14:53,scattered clouds
259,Ust-Kan,50.9276,84.761,18.5,93,60,0.69,RU,2022-10-01 17:14:54,broken clouds
260,Quatre Cocos,-20.2078,57.7625,70.09,70,47,14.41,MU,2022-10-01 17:14:54,scattered clouds
261,The Valley,18.217,-63.0578,86.09,84,40,9.22,AI,2022-10-01 17:14:54,scattered clouds
