City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,Pirovskoye,57.6267,92.2658,31.59,96,100,6.69,RU,2022-09-30 18:16:24
107,Dingle,10.9995,122.6711,75.45,88,91,5.14,PH,2022-09-30 18:16:25
108,Gushikawa,26.3544,127.8686,79.83,94,0,5.75,JP,2022-09-30 18:16:25
109,Kruisfontein,-34.0033,24.7314,64.89,90,100,18.3,ZA,2022-09-30 18:16:26
110,Hasaki,35.7333,140.8333,68.4,79,35,11.79,JP,2022-09-30 18:16:26
111,Broken Hill,-31.95,141.4333,59.05,53,35,8.77,AU,2022-09-30 18:16:27
112,Sterling,39.0062,-77.4286,61.59,75,100,9.22,US,2022-09-30 18:12:14
113,Bluff,-46.6,168.3333,37.92,83,7,6.13,NZ,2022-09-30 18:16:28
114,Tual,-5.6667,132.75,82.08,74,61,1.12,ID,2022-09-30 18:16:28
115,Norman Wells,65.282,-126.8329,46.44,81,75,6.91,CA,2022-09-30 18:16:29
116,Kalamare,-22.9337,26.5703,75.58,23,0,7.56,BW,2022-09-30 18:16:30
117,Dikson,73.5069,80.5464,35.35,85,100,18.12,RU,2022-09-30 18:16:30
118,Pemangkat,1.1667,108.9667,77.95,88,84,5.21,ID,2022-09-30 18:16:30
119,Nantucket,41.2835,-70.0995,64.54,63,75,16.11,US,2022-09-30 18:16:31
120,New Norfolk,-42.7826,147.0587,39.7,72,2,2.93,AU,2022-09-30 18:16:31
121,Byron Bay,-28.65,153.6167,58.96,87,89,11.97,AU,2022-09-30 18:14:03
122,Avarua,-21.2078,-159.775,73.45,68,75,9.22,CK,2022-09-30 18:16:32
123,Kaitangata,-46.2817,169.8464,33.39,94,11,4.07,NZ,2022-09-30 18:16:33
124,Klaksvik,62.2266,-6.589,50.92,88,100,36.55,FO,2022-09-30 18:16:33
125,Jalu,29.0331,21.5482,94.66,17,0,10.78,LY,2022-09-30 18:16:34
126,Timizart,36.8,4.2667,64.04,74,62,3.02,DZ,2022-09-30 18:16:34
127,Biscarrosse,44.3945,-1.1672,58.95,72,40,3.44,FR,2022-09-30 18:16:35
128,Hun,29.1268,15.9477,95.74,12,9,15.14,LY,2022-09-30 18:16:35
129,Ribeira Grande,38.5167,-28.7,73.8,56,40,8.05,PT,2022-09-30 18:16:35
130,Asau,46.4333,26.4,65.32,70,32,5.66,RO,2022-09-30 18:13:58
131,Gorgan,36.8387,54.4348,73.36,78,100,4.61,IR,2022-09-30 18:16:36
132,Yumen,40.2833,97.2,57.07,31,4,15.23,CN,2022-09-30 18:17:36
133,Beyneu,45.3167,55.2,61.29,36,4,19.44,KZ,2022-09-30 18:13:05
134,Airai,-8.9266,125.4092,61.5,94,100,1.28,TL,2022-09-30 18:17:37
135,Yamada,39.4667,141.95,62.13,81,0,6.51,JP,2022-09-30 18:17:37
136,East London,-33.0153,27.9116,67.14,88,0,10.36,ZA,2022-09-30 18:17:38
137,Auki,-8.7676,160.7034,76.62,89,9,4.12,SB,2022-09-30 18:17:38
138,Fangshan,39.6983,115.9925,71.91,47,82,2.01,CN,2022-09-30 18:17:39
139,Nelson Bay,-32.7167,152.15,62.01,69,87,10.0,AU,2022-09-30 18:17:39
140,Avera,33.194,-82.5271,68.38,61,99,19.22,US,2022-09-30 18:17:39
141,Fare,-16.7,-151.0167,77.4,71,0,10.8,PF,2022-09-30 18:17:40
142,Tessalit,20.1986,1.0114,100.58,13,48,7.87,ML,2022-09-30 18:17:40
143,Taonan,45.3333,122.7833,43.72,80,86,12.62,CN,2022-09-30 18:17:40
144,Ardmore,34.1743,-97.1436,77.86,31,0,9.22,US,2022-09-30 18:13:52
145,Namibe,-15.1961,12.1522,65.84,90,56,7.54,AO,2022-09-30 18:17:41
146,San Juan Evangelista,17.9,-95.1333,80.17,70,64,13.0,MX,2022-09-30 18:17:41
147,Geraldton,-28.7667,114.6,54.01,94,6,0.0,AU,2022-09-30 18:17:41
148,Atar,20.5169,-13.0499,90.54,23,16,14.88,MR,2022-09-30 18:17:42
149,Kavieng,-2.5744,150.7967,80.65,75,62,6.96,PG,2022-09-30 18:17:42
150,Vila Velha,-20.3297,-40.2925,73.35,78,75,12.66,BR,2022-09-30 18:17:43
151,Burnie,-41.0667,145.9167,43.92,80,47,5.59,AU,2022-09-30 18:17:44
152,Tiksi,71.6872,128.8694,14.05,95,73,6.91,RU,2022-09-30 18:17:44
153,Ushuaia,-54.8,-68.3,47.86,40,0,16.11,AR,2022-09-30 18:15:23
154,Nanzhou,29.3596,112.4024,81.5,54,11,5.35,CN,2022-09-30 18:17:45
155,Lagoa,39.05,-27.9833,68.34,65,3,3.85,PT,2022-09-30 18:17:45
156,Atuona,-9.8,-139.0333,76.71,69,51,17.9,PF,2022-09-30 18:17:45
157,Zhigansk,66.7697,123.3711,26.24,83,95,3.2,RU,2022-09-30 18:17:46
158,Port Macquarie,-31.4333,152.9167,57.09,100,100,14.97,AU,2022-09-30 18:15:25
159,Poronaysk,49.2167,143.1167,47.19,89,62,5.88,RU,2022-09-30 18:17:46
160,Cidreira,-30.1811,-50.2056,64.8,73,84,19.64,BR,2022-09-30 18:17:46
161,Kyshtovka,56.555,76.6271,28.63,72,9,6.08,RU,2022-09-30 18:17:47
162,Oussouye,12.485,-16.5469,98.69,78,100,6.02,SN,2022-09-30 18:17:47
163,Murray,40.6669,-111.888,69.31,41,0,9.22,US,2022-09-30 18:15:46
164,Qianguo,45.1171,124.8568,46.33,81,10,10.0,CN,2022-09-30 18:17:48
165,Paidha,2.4167,30.9855,60.73,91,15,5.5,UG,2022-09-30 18:17:48
166,Grindavik,63.8424,-22.4338,51.75,87,75,18.41,IS,2022-09-30 18:17:48
167,Piacabucu,-10.4056,-36.4344,80.28,60,53,10.47,BR,2022-09-30 18:17:49
168,Kodiak,57.79,-152.4072,38.71,87,0,4.61,US,2022-09-30 18:16:24
169,Daru,-9.0763,143.2092,79.14,87,46,13.87,PG,2022-09-30 18:17:49
170,Xocali,39.913,46.7903,67.46,61,0,3.31,AZ,2022-09-30 18:17:51
171,Luderitz,-26.6481,15.1594,60.15,67,60,19.08,NA,2022-09-30 18:17:51
172,Hithadhoo,-0.6,73.0833,81.75,72,76,7.11,MV,2022-09-30 18:17:52
173,Hamilton,39.1834,-84.5333,71.6,50,0,11.5,US,2022-09-30 18:15:33
174,Ahipara,-35.1667,173.1667,60.71,94,100,8.93,NZ,2022-09-30 18:17:52
175,Iqaluit,63.7506,-68.5145,35.33,87,100,9.22,CA,2022-09-30 18:17:53
176,Caruray,10.3094,119.0128,79.81,82,94,2.15,PH,2022-09-30 18:17:54
177,Banjar,-8.19,114.9675,77.49,89,100,2.84,ID,2022-09-30 18:17:55
178,Kodinsk,58.6881,99.1844,25.11,77,100,3.33,RU,2022-09-30 18:17:55
179,Tarasovskiy,48.7292,40.3636,67.12,59,72,6.53,RU,2022-09-30 18:18:55
180,Komsomolskiy,40.4272,71.7189,66.92,26,92,4.61,UZ,2022-09-30 18:18:56
181,Sao Filipe,14.8961,-24.4956,79.81,86,50,6.89,CV,2022-09-30 18:18:56
182,Saint-Pierre,-21.3393,55.4781,67.68,73,0,6.91,RE,2022-09-30 18:18:57
183,Camacha,33.0833,-16.3333,69.22,68,40,13.8,PT,2022-09-30 18:18:57
184,Ylivieska,64.0833,24.55,39.31,98,100,1.1,FI,2022-09-30 18:18:58
185,Krasnyy Yar,46.5331,48.3456,64.33,54,87,8.03,RU,2022-09-30 18:18:58
186,Bengkulu,-3.8004,102.2655,75.7,92,81,3.56,ID,2022-09-30 18:18:58
187,Bonthe,7.5264,-12.505,76.87,87,91,6.22,SL,2022-09-30 18:18:59
188,Buala,-8.145,159.5921,79.7,83,21,7.67,SB,2022-09-30 18:19:00
189,Santa Catarina De Tepehuanes,25.35,-105.7333,71.76,49,47,3.47,MX,2022-09-30 18:19:01
190,Tooele,40.5308,-112.2983,66.65,45,0,5.75,US,2022-09-30 18:19:01
191,Marzuq,14.4,46.4667,77.4,45,11,4.83,YE,2022-09-30 18:19:02
192,Sur,22.5667,59.5289,81.01,75,0,10.94,OM,2022-09-30 18:19:02
193,Elblag,54.1522,19.4088,51.98,67,43,5.06,PL,2022-09-30 18:19:03
194,Castro,-24.7911,-50.0119,57.58,88,100,6.78,BR,2022-09-30 18:19:03
195,Sarankhola,22.3082,89.7897,80.78,87,90,1.61,BD,2022-09-30 18:19:04
196,Sitka,57.0531,-135.33,55.29,88,100,0.0,US,2022-09-30 18:19:04
197,Leningradskiy,69.3833,178.4167,24.13,80,100,9.24,RU,2022-09-30 18:19:05
198,Severo-Kurilsk,50.6789,156.125,50.85,94,99,14.63,RU,2022-09-30 18:19:05
199,Mangrol,21.1167,70.1167,80.49,72,55,9.62,IN,2022-09-30 18:19:06
200,Thiers,45.8333,3.5,52.12,68,10,2.59,FR,2022-09-30 18:19:07
201,Jamestown,42.097,-79.2353,61.02,52,0,4.61,US,2022-09-30 18:15:49
202,Hobyo,5.3505,48.5268,77.0,85,4,21.45,SO,2022-09-30 18:19:08
203,Aklavik,68.2191,-135.0107,31.51,93,84,7.2,CA,2022-09-30 18:19:08
204,Pimentel,-6.8367,-79.9342,68.29,64,75,17.27,PE,2022-09-30 18:19:08
205,Saint-Philippe,-21.3585,55.7679,67.59,82,41,10.63,RE,2022-09-30 18:19:09
206,Rocha,-34.4833,-54.3333,61.45,64,98,6.98,UY,2022-09-30 18:19:09
207,Kieta,-6.2167,155.6333,77.92,85,8,5.86,PG,2022-09-30 18:19:10
208,Berlevag,70.8578,29.0864,40.95,70,40,8.05,NO,2022-09-30 18:19:10
209,Oeiras Do Para,-2.0031,-49.8544,96.93,35,58,6.06,BR,2022-09-30 18:19:11
210,Tambopata,-12.7333,-69.1833,78.69,65,40,4.61,PE,2022-09-30 18:19:11
211,Evanston,42.0411,-87.6901,68.72,56,20,5.75,US,2022-09-30 18:19:09
212,Husavik,66.0449,-17.3389,44.15,98,100,13.47,IS,2022-09-30 18:19:12
213,Souillac,-20.5167,57.5167,70.18,78,40,4.61,MU,2022-09-30 18:19:12
214,Victoria,22.2855,114.1577,80.65,90,99,5.01,HK,2022-09-30 18:19:12
215,Ponta Do Sol,32.6667,-17.1,74.71,82,88,4.65,PT,2022-09-30 18:19:13
216,Polyarnyy,69.1989,33.4478,37.51,80,100,5.86,RU,2022-09-30 18:19:13
217,Namatanai,-3.6667,152.4333,79.03,78,26,5.3,PG,2022-09-30 18:19:14
218,Naze,28.3667,129.4833,70.72,77,1,6.8,JP,2022-09-30 18:19:14
219,Chokurdakh,70.6333,147.9167,19.69,89,69,4.72,RU,2022-09-30 18:19:15
220,Mayo,38.8876,-76.5119,63.03,79,75,8.05,US,2022-09-30 18:19:16
221,Touros,-5.1989,-35.4608,83.03,58,61,18.03,BR,2022-09-30 18:19:16
222,Aktau,43.65,51.2,70.38,57,4,4.83,KZ,2022-09-30 18:19:17
223,Concordia,-31.393,-58.0209,71.78,50,75,11.01,AR,2022-09-30 18:19:17
224,Copiapo,-27.3667,-70.3333,58.69,25,0,8.39,CL,2022-09-30 18:19:17
225,Manaure,11.7751,-72.4445,87.58,59,100,3.33,CO,2022-09-30 18:20:18
226,Smolenka,52.1352,113.4974,32.07,100,100,2.24,RU,2022-09-30 18:20:18
227,Mehran,33.1222,46.1646,88.2,12,0,8.55,IR,2022-09-30 18:20:19
228,Prince Rupert,54.3161,-130.3201,60.89,87,100,18.41,CA,2022-09-30 18:20:19
229,Berdigestyakh,62.0989,126.6992,21.65,92,39,4.21,RU,2022-09-30 18:20:20
230,Melbourne,28.0836,-80.6081,83.01,72,0,7.0,US,2022-09-30 18:20:20
231,Cockburn Town,21.4612,-71.1419,82.22,72,56,11.5,TC,2022-09-30 18:20:21
232,Sherbakul,54.6316,72.3963,28.33,81,12,6.35,RU,2022-09-30 18:20:21
233,Yangambi,0.8102,24.4336,73.11,85,94,1.74,CD,2022-09-30 18:20:22
234,Matola,-25.9622,32.4589,73.51,83,20,8.05,MZ,2022-09-30 18:20:22
235,Lompoc,34.6391,-120.4579,64.54,94,100,0.0,US,2022-09-30 18:20:22
