,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Conde,BR,85.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
424,Abonnema,NG,79.09,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
428,Heidelberg,ZA,78.71,scattered clouds,-26.5048,28.3592,Van Dykshuis Guest House
431,San Lawrenz,MT,75.85,broken clouds,36.0553,14.204,San Andrea Hotel
432,Fuerte Olimpo,PY,89.56,few clouds,-21.0415,-57.8738,Hospedaje DAMI
435,Alappuzha,IN,79.0,overcast clouds,9.49,76.3264,Panoramic Sea Resort
436,Jalingo,NG,80.44,light rain,8.8833,11.3667,Debright Motel
437,Coromandel,BR,85.75,few clouds,-18.4733,-47.2003,Hotel Dona Adélia
439,Bagado,CO,80.62,moderate rain,5.4116,-76.4152,Hotel San Jose
447,Mongo,TD,87.12,clear sky,12.1844,18.693,Résidences du Programme FIDA
450,Itarema,BR,86.52,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
451,Pachino,IT,76.86,broken clouds,36.7186,15.0907,Il Veliero
452,Yako,BF,88.93,broken clouds,12.9667,-2.2667,CADAAY
453,Abu Dhabi,AE,89.62,clear sky,24.4667,54.3667,Beach Rotana
454,Najran,SA,81.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
455,Havelock,US,76.98,scattered clouds,34.8791,-76.9013,Sherwood Motel
456,El Tigre,VE,86.79,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
458,Black River,JM,83.21,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
462,Kavaratti,IN,81.59,overcast clouds,10.5669,72.642,Green leaf
463,Mumford,GH,77.18,scattered clouds,5.2618,-0.759,Peace Guest House
464,San Juan,AR,77.67,clear sky,-31.5375,-68.5364,Hotel Provincial
472,Begusarai,IN,85.44,broken clouds,25.4167,86.1333,OYO 47817 Akhand Param
488,Sayhat,SA,84.42,clear sky,26.4852,50.0405,OYO 426 Royal Al Khaleej Furnished Apartments
490,Zemio,CF,75.0,light rain,5.0314,25.1361,OCHA Office
494,Dalbandin,PK,81.73,clear sky,28.8947,64.4101,Sanjrani House
498,Keratea,GR,79.48,clear sky,37.8073,23.9769,Keratea Luxury Villa -Athens Airport
499,Tarpon Springs,US,83.1,scattered clouds,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
501,Marzuq,YE,77.32,clear sky,14.4,46.4667,حيد القفلة
503,Cabedelo,BR,86.67,few clouds,-6.9811,-34.8339,Pousada Camboinha
